Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
277,5/9/2023 13:00,8.25,34.625,63.75
278,5/9/2023 14:00,11.25,33.875,66.75
279,5/9/2023 15:00,10.0,33.15,69.0
280,5/9/2023 16:00,10.0,32.875,70.25
281,5/9/2023 17:00,10.0,32.275,72.25
282,5/9/2023 18:00,10.0,31.925,73.5
283,5/9/2023 19:00,9.0,31.85,74.0
284,5/9/2023 20:00,8.75,31.825,74.0
285,5/9/2023 21:00,8.0,31.775,74.0
286,5/9/2023 22:00,8.5,31.425,74.25
287,5/9/2023 23:00,8.75,31.45,74.0
288,5/10/2023 0:00,8.25,31.525,74.0
289,5/10/2023 1:00,10.25,31.8,73.0
290,5/10/2023 2:00,13.33333333,32.43333333,72.0
291,5/10/2023 3:00,9.0,33.75,69.5
292,5/10/2023 4:00,10.75,33.625,70.5
293,5/10/2023 5:00,11.5,34.825,68.25
294,5/10/2023 6:00,13.75,35.625,65.25
295,5/10/2023 7:00,15.0,36.45,62.5
296,5/10/2023 8:00,15.5,37.275,60.75
297,5/10/2023 9:00,12.5,38.5,56.75
298,5/10/2023 10:00,12.5,40.775,52.25
299,5/10/2023 11:00,15.75,39.375,56.25
300,5/10/2023 12:00,15.33333333,37.23333333,61.66666667
301,5/10/2023 13:00,12.0,34.675,64.75
302,5/10/2023 14:00,13.25,33.85,66.0
303,5/10/2023 15:00,11.5,33.6,67.5
304,5/10/2023 16:00,10.5,33.3,68.75
305,5/10/2023 17:00,9.0,33.15,70.0
306,5/10/2023 18:00,8.25,32.725,71.75
307,5/10/2023 19:00,8.0,32.5,72.75
308,5/10/2023 20:00,8.0,32.275,73.0
309,5/10/2023 21:00,7.0,32.45,72.0
310,5/10/2023 22:00,7.0,32.35,71.25
311,5/10/2023 23:00,7.5,32.05,72.25
312,5/11/2023 0:00,9.25,31.8,73.5
313,5/11/2023 1:00,20.0,32.325,72.25
314,5/11/2023 2:00,16.25,33.925,68.0
315,5/11/2023 3:00,7.5,34.925,64.75
